iter	Passed	Remaining
301	127502	294690
302	127922	294263
303	128287	293710
304	128691	293247
305	129042	292664
306	129362	292013
307	129752	291522
308	130210	291181
309	130617	290728
310	130938	290085
311	131256	289438
312	131599	288846
313	131967	288310
314	132325	287755
315	132700	287237
316	133137	286855
317	133607	286541
318	133913	285878
319	134280	285346
320	134598	284710
321	134906	284057
322	135280	283545
323	135599	282917
324	136058	282583
325	136377	281958
326	136736	281418
327	137128	280945
328	137561	280558
329	137948	280077
330	138342	279609
331	138702	279076
332	139087	278592
333	139418	278001
334	139826	277566
335	140326	277311
336	140723	276853
337	141183	276519
338	141600	276099
339	141996	275640
340	142374	275145
341	142821	274785
342	143202	274298
343	143584	273813
344	143952	273301
345	144275	272706
346	144578	272074
347	145024	271712
348	145464	271339
349	145860	270884
350	146174	270277
351	146501	269695
352	146916	269277
353	147225	268666
354	147601	268178
355	147972	267679
356	148306	267118
357	148673	266615
358	149097	266216
359	149409	265616
360	149719	265015
361	150134	264601
362	150437	263991
363	150923	263701
364	151292	263207
365	151873	263082
366	152185	262488
367	152612	262095
368	152927	261510
369	153300	261025
370	153612	260436
371	153933	259865
372	154245	259281
373	154570	258719
374	155070	258450
375	155473	258020
376	155870	257578
377	156264	257133
378	156701	256759
379	157134	256377
380	157479	255852
381	157872	255406
382	158246	254929
383	158642	254489
384	158941	253894
385	159327	253438
386	159786	253099
387	160166	252633
388	160567	252202
389	160907	251675
390	161274	251191
391	161587	250625
392	162031	250261
393	162397	249779
394	162778	249319
395	163113	248789
396	163496	248332
397	163830	247803
398	164267	247430
399	164581	246871
400	165042	246535
401	165489	246176
402	165860	245703
403	166236	245240
404	166646	244826
405	167009	244343
406	167381	243875
407	167694	243321
408	168036	242811
409	168348	242257
410	168756	241843
411	169158	241420
412	169471	240870
413	169838	240400
414	170206	239929
415	170621	239526
416	170970	239030
417	171396	238643
418	171811	238240
419	172164	237750
420	172461	237185
421	172828	236717
422	173172	236219
423	173580	235807
424	173886	235257
425	174298	234852
426	174676	234402
427	175097	234009
428	175438	233509
429	175852	233107
430	176221	232645
431	176540	232117
432	176906	231653
433	177225	231128
434	177588	230660
435	177906	230136
436	178303	229714
437	178633	229205
438	179014	228762
439	179335	228245
440	179752	227849
441	180089	227352
442	180402	226826
443	180714	226299
444	181038	225789
445	181427	225361
446	181942	225087
447	182287	224604
448	182753	224270
449	183134	223831
450	183497	223370
451	183823	222865
452	184144	222356
453	184466	221847
454	184843	221406
455	185270	221024
456	185589	220514
457	185929	220029
458	186310	219594
459	186632	219089
460	187007	218648
461	187371	218194
462	187741	217747
463	188120	217311
464	188492	216867
465	188833	216388
466	189210	215951
467	189615	215545
468	190011	215130
469	190424	214734
470	190798	214294
471	191128	213804
472	191474	213334
473	191851	212898
474	192187	212417
475	192609	212031
476	192926	211531
477	193285	211076
478	193750	210738
479	194152	210332
480	194510	209876
481	194943	209503
482	195253	208998
483	195622	208556
484	195941	208062
485	196354	207667
486	196744	207248
487	197261	206963
488	197648	206540
489	198131	206218
490	198572	205852
491	198883	205351
492	199295	204954
493	199731	204583
494	200039	204080
495	200416	203649
496	200759	203182
497	201187	202803
498	201593	202401
499	201956	201956
500	202376	201568
501	202771	201155
502	203148	200725
503	203585	200354
504	203990	199951
505	204365	199519
506	204708	199055
507	205100	198640
508	205498	198230
509	205907	197832
510	206227	197349
511	206602	196918
512	207003	196512
513	207413	196114
514	207787	195683
515	208160	195251
516	208470	194760
517	208781	194271
518	209181	193865
519	209572	193451
520	209909	192987
521	210275	192551
522	210629	192104
523	211026	191696
524	211334	191207
525	211731	190800
526	212030	190304
527	212405	189877
528	212715	189393
529	213038	188921
530	213376	188462
531	213779	188061
532	214090	187579
533	214434	187128
534	214849	186738
535	215208	186299
536	215551	185847
537	215886	185389
538	216249	184955
539	216557	184474
540	216956	184072
541	217269	183596
542	217675	183200
543	218066	182790
544	218402	182336
545	218799	181932
546	219244	181567
547	219712	181222
548	220034	180757
549	220478	180391
550	220870	179983
551	221235	179553
552	221553	179085
553	221910	178650
554	222292	178234
555	222662	177809
556	222969	177335
557	223291	176872
558	223660	176447
559	223968	175975
560	224381	175585
561	224766	175173
562	225067	174697
563	225410	174253
564	225840	173877
565	226153	173411
566	226497	172968
567	226906	172576
568	227328	172194
569	227745	171808
570	228070	171352
571	228396	170897
572	228812	170511
573	229125	170047
574	229503	169632
575	229852	169196
576	230186	168749
577	230537	168316
578	230886	167881
579	231186	167410
580	231522	166967
581	231932	166576
582	232269	166134
583	232729	165779
584	233066	165338
585	233404	164897
586	233835	164521
587	234196	164097
588	234597	163700
589	234932	163258
590	235234	162793
591	235665	162417
592	236096	162042
593	236515	161658
594	236947	161283
595	237292	160849
596	237608	160395
597	237969	159972
598	238359	159569
599	238730	159153
600	239037	158695
601	239409	158280
602	239752	157846
603	240138	157441
604	240600	157086
605	240984	156679
606	241411	156300
607	241804	155899
608	242208	155506
609	242603	155107
610	242974	154692
611	243416	154322
612	243794	153912
613	244137	153480
614	244511	153068
615	244873	152648
616	245176	152192
617	245490	151743
618	245918	151364
619	246235	150918
620	246602	150503
621	246970	150088
622	247333	149670
623	247674	149239
624	247998	148799
625	248309	148350
626	248676	147936
627	248997	147495
628	249323	147057
629	249748	146677
630	250148	146283
631	250528	145877
632	250870	145449
633	251287	145065
634	251653	144651
635	252081	144273
636	252515	143898
637	252896	143493
638	253281	143090
639	253728	142722
640	254068	142294
641	254488	141911
642	254868	141505
643	255305	141131
644	255781	140778
645	256085	140331
646	256479	139933
647	256889	139545
648	257215	139110
649	257597	138706
650	258002	138314
651	258407	137923
652	258805	137527
653	259209	137135
654	259621	136747
655	260010	136346
656	260452	135974
657	260831	135568
658	261154	135134
659	261474	134699
660	261860	134297
661	262311	133929
662	262707	133532
663	263148	133159
664	263513	132747
665	263909	132351
666	264290	131947
667	264610	131512
668	265041	131134
669	265514	130775
670	265833	130341
671	266141	129902
672	266566	129520
673	266959	129122
674	267299	128699
675	267666	128289
676	268072	127898
677	268439	127489
678	268859	127104
679	269223	126693
680	269691	126331
681	270086	125934
682	270468	125532
683	270858	125133
684	271162	124695
685	271468	124257
686	271776	123822
687	272180	123430
688	272494	122998
689	272886	122601
690	273330	122227
691	273701	121821
692	274098	121426
693	274461	121016
694	274853	120619
695	275219	120211
696	275576	119798
697	275965	119400
698	276383	119014
699	276831	118641
700	277231	118248
701	277545	117818
702	277890	117401
703	278313	117017
704	278808	116664
705	279120	116234
706	279495	115830
707	279999	115480
708	280419	115094
709	280779	114684
710	281180	114291
711	281489	113861
712	281905	113473
713	282313	113083
714	282708	112687
715	283061	112275
716	283380	111850
717	283792	111461
718	284118	111039
719	284492	110635
720	284806	110209
721	285176	109804
722	285554	109403
723	285931	109001
724	286367	108621
725	286781	108234
726	287090	107806
727	287482	107411
728	287794	106985
729	288163	106580
730	288533	106176
731	288871	105761
732	289279	105371
733	289658	104971
734	290058	104578
735	290466	104188
736	290879	103800
737	291293	103413
738	291694	103020
739	292108	102632
740	292536	102249
741	292859	101830
742	293221	101424
743	293599	101023
744	293951	100614
745	294265	100192
746	294692	99808
747	295083	99413
748	295481	99019
749	295783	98594
750	296209	98210
751	296597	97813
752	297077	97447
753	297461	97049
754	297829	96646
755	298211	96248
756	298601	95852
757	298986	95454
758	299367	95056
759	299762	94661
760	300145	94263
761	300537	93868
762	300935	93475
763	301314	93076
764	301630	92657
765	302126	92294
766	302439	91875
767	302747	91455
768	303263	91097
769	303645	90699
770	303959	90281
771	304339	89882
772	304636	89459
773	304973	89049
774	305357	88652
775	305767	88262
776	306138	87862
777	306518	87464
778	306835	87048
779	307216	86650
780	307686	86278
781	308026	85869
782	308421	85475
783	308767	85068
784	309081	84652
785	309430	84246
786	309812	83850
787	310257	83470
788	310589	83060
789	311028	82678
790	311356	82267
791	311790	81884
792	312214	81498
793	312607	81104
794	313011	80713
795	313316	80297
796	313722	79906
797	314091	79506
798	314511	79119
799	314923	78730
800	315231	78315
801	315613	77919
802	315940	77509
803	316329	77115
804	316729	76723
805	317142	76334
806	317548	75944
807	317957	75554
808	318279	75143
809	318703	74757
810	319101	74365
811	319406	73951
812	319769	73550
813	320139	73152
814	320460	72742
815	320849	72348
816	321151	71934
817	321523	71536
818	321879	71135
819	322301	70749
820	322688	70354
821	323066	69958
822	323477	69569
823	323906	69183
824	324297	68790
825	324646	68388
826	324987	67984
827	325370	67588
828	325700	67183
829	326069	66785
830	326400	66379
831	326809	65990
832	327191	65595
833	327581	65202
834	327935	64801
835	328346	64412
836	328662	64004
837	329001	63601
838	329421	63214
839	329781	62815
840	330129	62414
841	330513	62020
842	330815	61610
843	331190	61215
844	331573	60821
845	331893	60415
846	332207	60009
847	332524	59603
848	332884	59205
849	333228	58805
850	333607	58410
851	333913	58003
852	334265	57604
853	334650	57211
854	335037	56819
855	335467	56433
856	335878	56045
857	336181	55638
858	336496	55233
859	336928	54848
860	337325	54457
861	337668	54058
862	338070	53668
863	338434	53272
864	338773	52872
865	339201	52486
866	339501	52080
867	339889	51688
868	340286	51297
869	340662	50903
870	341040	50510
871	341399	50113
872	341786	49721
873	342240	49339
874	342592	48941
875	342910	48539
876	343316	48150
877	343654	47751
878	343997	47353
879	344347	46956
880	344715	46562
881	345024	46159
882	345441	45771
883	345854	45383
884	346281	44997
885	346593	44595
886	346908	44194
887	347354	43810
888	347742	43418
889	348145	43029
890	348529	42637
891	348962	42251
892	349322	41856
893	349665	41459
894	350076	41070
895	350457	40678
896	350809	40282
897	351128	39883
898	351460	39485
899	351863	39095
900	352272	38707
901	352667	38316
902	353043	37923
903	353384	37527
904	353784	37137
905	354117	36740
906	354427	36341
907	354770	35945
908	355185	35557
909	355596	35168
910	355991	34778
911	356292	34379
912	356665	33986
913	357053	33595
914	357405	33201
915	357862	32817
916	358180	32419
917	358507	32023
918	358932	31636
919	359313	31244
920	359706	30854
921	360061	30460
922	360421	30067
923	360851	29680
924	361326	29296
925	361731	28907
926	362056	28511
927	362482	28123
928	362838	27730
929	363322	27346
930	363699	26955
931	364044	26561
932	364555	26179
933	364919	25786
934	365360	25399
935	365727	25006
936	366035	24610
937	366456	24222
938	366862	23832
939	367273	23442
940	367655	23051
941	367996	22657
942	368382	22267
943	368773	21876
944	369120	21483
945	369595	21097
946	369990	20706
947	370369	20315
948	370732	19923
949	371047	19528
950	371369	19134
951	371676	18739
952	372059	18349
953	372408	17956
954	372795	17566
955	373187	17175
956	373555	16784
957	373869	16390
958	374188	15997
959	374567	15606
960	374879	15213
961	375180	14820
962	375630	14432
963	376038	14042
964	376376	13650
965	376846	13263
966	377301	12875
967	377627	12483
968	377936	12090
969	378316	11700
970	378758	11312
971	379131	10921
972	379475	10530
973	379848	10139
974	380237	9749
975	380614	9359
976	381030	8970
977	381458	8580
978	381763	8189
979	382066	7797
980	382478	7407
981	382817	7017
982	383189	6626
983	383566	6236
984	383966	5847
985	384279	5456
986	384668	5066
987	384974	4675
988	385349	4285
989	385712	3896
990	386088	3506
991	386551	3117
992	386914	2727
993	387295	2337
994	387692	1948
995	388122	1558
996	388508	1169
997	388902	779
998	389207	389
999	389609	0
